artist_name,track_name,release_date,genre,lyrics
The Dip,Paddle to the Stars,2022,retro,"Even just the simple things So let me try to lay it on you Baby just in case you're wondering When you get swept away I wanna swim to your rescue I'll paddle out into the stars for you Drown myself in love I drown myself in love, baby I never worked on it much So I'm not as in touch As you wanted me to be Oh, but lately I'm worryin' To draw back the curtain Baby just listen to me When you get swept away I wanna swim to your rescue I'll paddle out into the stars for you Drown myself in love, baby I'ma drown myself in your love Oh, when you get swept away I wanna swim to your rescue I'll paddle out into the stars for you Drown myself in love, baby Drownin', drownin' in your precious loveYou might also likeEmbed"
St. Paul & The Broken Bones,Apollo,2018,retro,"Tellin' all the stars her name Hopin' they just tell her ""hey"", and I love ya, baby I love ya, baby Runnin' all through my brain Wishin' that I could stay And just hold you, baby Just to hold ya, baby [Verse 1] Lookin' down from my orbit Captain, can you get her to call me? Though I may be far gone Know that she's my only desire Stay in her arms Where the moon is shaded Lose control and I Might go crazy [Pre-Chorus] Air is gone so Now I'm never comin' home Air is gone so Now I'm never comin' home You might also like[Chorus] Tellin' all the stars her name Hopin' they just tell her ""hey"", and I love ya, baby And I love ya, baby Runnin' all through my brain Wishin' that I could stay And just hold you, baby Just to hold ya, baby [Verse 2] Gravity is so crazy It's the only way I ever could touch you Captain, can you hear me? I wish I was the one that told you Stuck in moon dust Try to call my baby Tried to reach her but Now it's goin' hazy [Pre-Chorus] Air is gone so Now I'm never comin' home Air is gone so Now I'm never comin' home [Chorus (Extended)] Tellin' all the stars her name Hopin' they just tell her ""hey"", and I love ya, baby And I love ya, baby Runnin' all through my brain Wishin' that I could stay And just hold you, baby Just to hold ya, baby Tellin' all the stars her name Hopin' they just tell her ""hey"" And I love you, baby And I love ya, baby Runnin' all through my brain Wishin' that I could stay And just hold you, baby [Outro] I can't let ya, I can't let ya I can't let you go, baby I can't let ya, I can't let ya I can't let you go Baby, baby Don't you love me? Baby, please But please feel me, darling [?] please1Embed"
Matt Duncan,The Keys,2013,retro,"Everybody's leaving soon I can hear that rambling tune From the pool hall or any shopping mall We're going crazy as a loon Tell me where we're gonna go Where there's no sorrow, there's no snow Pack your suitcase light, we're gonna leave tonight 'Cause I think I might just know [Chorus] Oh, if I lose it I'm gonna move it Down to the Keys Maybe Idaho's not for me Don't need no jacket If you can't hack it You better come with me Down to the Keys [Verse 2] There's a place down by the beach Where you can buy a peach Hear any Buffett tune if it's after noon And you promise not to preach There's a bar down by the pier Where I like to buy my beer And I can pay my tab with the gift of gab While the tourists shuffle through You might also like[Chorus] Oh, if I lose it I'm gonna move it Down to the Keys Maybe Idaho's not for me Don't need no jacket If you can't hack it You better come with me Down to the Keys, down to the Keys [Verse 3] Mr. Gore don't lie, when the tide is high And we're swallowed by the sea Gonna float on down to the promised land Where the healthcare will be free [Chorus] Oh, if I lose it I'm gonna move it Down to the Keys Maybe Idaho's not for me Don't need no jacket If you can't hack it You better come with me Down to the Keys, down to the KeysEmbed"
Lawrence,i'm confident that i'm insecure,2023,retro,"Well, shucks, I think I need to go to therapy But I'm tough, so I'm just gonna cry in bed for free But enough, like, maybe I've been living in denial for a while It sucks, my brain tells me to eat a bag of dicks And I suck at knowing when my mind is playing tricks Now I'm stuck (I'm stuck) How come it didn't dawn on me before? I'm confident that I'm insecure [Chorus: Gracie Lawrence] (Woah-oh-oh-oh-oh-oh-oh-oh-oh) I'm confident that I'm insecure (Woah-oh-oh-oh-oh-oh-oh-oh-oh) [Verse 2: Gracie Lawrence, Clyde Lawrence] I'm not deep, don't wanna know what death is all about But I need to know that, if I die, that you'll be proud of me (Of me) And everything you hoped that I would be, I'd be But I'm weak (Ow), criticism knocks me to the ground When I speak, I don't like hearing words that's coming out But, God, please How come you didn't tell me this before? I'm confident that I'm insecure [Chorus: Gracie Lawrence] (Woah-oh-oh-oh-oh-oh-oh-oh-oh) I'm confident that I'm insecure (Woah-oh-oh-oh-oh-oh-oh-oh-oh) I'm confident that I'm insecure You might also like[Post-Chorus: Gracie Lawrence, Clyde Lawrence] In the morning, I'm insecure In the evening, I'm insecure In the afternoon, I'm a rising Pisces and a fucked up moon (I'm insecure) In the morning (I'm insecure) When you're leaving (I'm insecure) (But everybody gets insecure sometimes) (That's right) [Bridge: Gracie Lawrence] And I know the Great Wall sometimes feels like just a wall And I know that Ringo sometimes wishes he was Paul And I know that Jersey wonders, ""Am I even Shore?"" And I'm confident that I'm insecure (Woah-oh-oh-oh-oh-oh-oh-oh-oh) I'm confident that I'm insecure [Chorus: Gracie Lawrence] (Woah-oh-oh-oh-oh-oh-oh-oh-oh) I'm confident that I'm insecure (Woah-oh-oh-oh-oh-oh-oh-oh-oh) I'm confident that I'm insecureEmbed"
Los Yesterdays,Tell Me I'm Dreaming,2020,retro,"This must be make-believe But I can't shake the feelin' This love is real as candy Tell me I'm dreamin' Pinch me once and say to me ""Darlin' you're not sleepin' This is really real reality"" The stars make diamonds Upon your face The moon smiles down From outer space The clouds surround us The angels sing Tell me I'm dreamin' This has got to be Make-believe But I can't shake the feelin' This lovе is real as candy Our love is real This lovе is real as candyYou might also likeEmbed"
Allen Stone,Consider Me,2019,retro,"If you're lookin' for somebody who Will love you through the night And be there in the morning with The same look in their eyes If you're lookin' for somebody who Will listen to your thoughts And understand the way you feel With no words at all [Pre-Chorus] If you need appreciation Without compensation Someone to give you what you need If you're looking for some magic That will not end tragic Darling all I ask is you consider me [Chorus] Consider me Consider me Consider me Won't you consider me? Consider me Consider me Consider me Won't you consider me? You might also like[Verse 2] If you're looking for somebody who Don't judge you from your past And focuses on only things That help to make it last If you're looking for somebody who Will put up with your shit Can fight fire with fire Without burning you a bit [Pre-Chorus] Oh, if you want real attraction Beyond this skin we fashion Someone to set your spirit free Someone that you're obsessed with And that you feel blessed with Baby, all I ask is you consider me [Chorus] Consider me (Won't you consider me?) Consider me (Won't you consider me?) Consider me (Won't you consider me?) Won't you consider me? Consider me (Won't you consider me?) Consider me (Won't you consider me?) Consider me (Won't you consider me?) Won't you consider me? Baby don't delay it I'ma find a way To give you everything If you consider me At any time of day I'll be there right away Swear it on my grave If you consider me Won't you consider me?1Embed"
Lawrence,Don't Lose Sight,2021,retro,"Are you kidding me I'm getting sick of the industry I've had enough of the make-believe Oh please, oh please Am I lost or found I'm getting sick of the ups and downs No need to give me the run around I'm out, I'm out [Chorus: Gracie Lawrence] This shit's gonna kill me But I won't let it And I try to give 'em hell But they don't get it So I tell myself when I sleep at night Don't lose sight Baby don't lose sight And they try to give me up But I won't give in And this life will get you down But I keep living So I tell myself when I sleep at night Don't lose sight Baby don't lose sight Don't lose sight Baby don't lose sight You might also like[Verse 2: Clyde Lawrence] Are you kidding me I'm getting sick of the in between Running in place isn't interesting To me, to me Am I good enough? Does that even matter, or is it luck? I'm checking the prices on giving up Now what, now what [Chorus: Gracie Lawrence] This shit's gonna kill me But I won't let it And I try to give 'em hell But they don't get it So I tell myself when I sleep at night Don't lose sight Baby don't lose sight And they try to give me up But I won't give in And this life will get you down But I keep living So I tell myself when I sleep at night Don't lose sight Baby don't lose sight Don't lose sight Baby don't lose sight Don't lose sight Baby don't lose sight [Bridge: Clyde Lawrence, Gracie Lawrence, Clyde & Gracie Lawrence] And this shit ain't ever gonna change It ain't ever gonna change It ain't ever gonna change And this shit ain't ever gonna change It ain't ever gonna change It ain't ever gonna change (This shit's gonna kill me, but I won't let it) This shit ain't ever gonna change (This shit's gonna kill me, but I won't let it) It ain't ever gonna change So I tell myself when I sleep at night [Chorus: Gracie Lawrence, Clyde & Gracie Lawrence] This shit's gonna kill me But I won't let it And I try to give 'em hell But they don't get it So I tell myself when I sleep at night Don't lose sight Baby don't lose sight And they try to give me up But I won't give in And this life will get you down But I keep living So I tell myself when I sleep at night Don't lose sight Baby don't lose sightEmbed"
St. Paul & The Broken Bones,Half the City,2014,retro,"It is made of pure steel And you can't let it cry At the poor end of street I populated half the city, child But I still can't find no love Somebody has to heal me From up above There ain't no way that I could stay Here breathing, oh breathing There it goes, her arms that hold me closely So closely Though I can't let it die This hope I feel Oh the city's made me cry But I still can't leave her The streets are paved with pain Of all my past loves Please don’t let it die Cause I have had enough There ain't no way that I could stay here Breathing, oh breathing There it goes, her arms that hold me closely So closely You might also likeI know that it's time For this city of mine To just crumble down And let me hold it Let me hold it Let me let me hold it All you got to do I know, I know this city's made for me1Embed"
The Dip,Slow Sipper,2019,retro,On the way home from the studio I walked into a bar I sat down for a drink or two I didn't get very far [Pre Chorus] She sat right there next to me Woah just drinking that drink so easily [Chorus] She's a slow sipper She's taking it slow That's why I love her and I can't get her off of my mind She's a slow sipper She's taking it slow That's why I love her and I can't get her off of my mind [Interlude] [Bridge] After a while I start feeling kinda strange I'm trembling in my arms Feeling woozy in my brain [Pre Chorus] She sat right there next to me Woah just drinking that drink so evilly You might also like[Chorus] She's a slow sipper She's taking it slow That's why I love her and I can't get her off of my mind She's a slow sipper She's taking it slow That's why I love her and I can't get her off of my mind Woah she's a slow sipper1Embed
Black Pumas,More Than a Love Song,2023,retro,"Ahh! Hangin' on Here I go [Verse 1] You see the two black birds flying Flying high just to be together When we face the music It might help you to the other side of a great divide Fly together So I’ve asked the grand master why Asked him why life feels so hard sometimes You got to use the music, sweet soul music To reignite your soul divine, to reignite your soul [Chorus] Because life is more More than a love song, it's more than a fantasy More than a little bit This life is more More than a dream ya'll, it’s more than a fantasy More than a little bit So take your time, and realize, and fly [Verse 2] I hear the two blues birds sing that song Dee-dee-diddly, dee-dee-diddly, yeah, right My respects to the grand master for the lines Such a pretty thing, how the melody abides You might also like[Chorus] But life is more More than love song, it's more than a fantasy More than a little bit This life is more More than a dream ya'll, it's more than a fantasy More than a little bit This life is more More than a love song, it's more than a fantasy More than a little bit And I'm through the door now (More than a dream ya'll) See the sun shining (It's more than a fantasy) More than a little bit [Bridge] I’m through the door (Fly) (High) We know life is more (Fly) (High) More than pretty things (Fly) (High) Or singing melodies (Fly) (High) Oh life is more (Fly) (High) Way more (Fly) Oh, yeah (High) Way more (Fly high) [Verse 3] Why, when the thunder sounds And you see the lightning almost touch the ground You hear a voice sometimes, my inner child sings Fly together (Fly together) But life feels so hard sometimes and you start to lose your mind Just grab your sister’s hand And fly together Black Pumas, show em' how The blues birds, fly together (Fly together) [Outro] Let’s fly together baby (Fly together) Fly together (Fly together) Fly together (Fly together) Help me sing a song and fly (Fly together) Touch that sky (Fly together) Fly together (Fly together) Let's fly together (Fly together) (Fly together) (Fly together) (Fly together) (Fly together) (Fly together) (Fly together) (Fly together) (Fly together) (Fly together) (Fly together) (Fly together) (Fly together) (Fly together) (Fly together)Embed"
Black Pumas,Fire,2019,retro,"I've got a song on my heart, baby She keeps me grooving, steady grooving Got a lover on my mind That keeps me wanting, steady wanting more [Chorus] There’s a fire, call the fireman If you're in pain, baby, call a doctor Don't be afraid to say ""I need you"" I will understand [Verse 2] Baby love, pretty woman, walking down the way If you get tired, use your soul power and you’ll find the way [Chorus] And if there's a fire, call the fireman If you're in pain, baby, call the doctor Don't be afraid to say ""I need you"" I will understand [Post-Chorus] Help me understand [Verse 3] Oh, I long for your lovin', I can't get enough When you tell me I can be there when you love again You might also like[Chorus] When there's a fire, call the fireman If there is a pain, baby, call the doctor Don't be afraid to say ""I need you"" I will understand [Post-Chorus] Help me understand Alright, help me understand you [Bridge] Smooth, smooth sailing, when I understand Smooth, smooth sailing on the other side [Chorus] If there’s a fire, call the fireman If you’re in pain, baby, call a doctor Don't be afraid to say ""I need you"" I will understand1Embed"
Lawrence,Do You Wanna Do Nothing with Me?,2017,retro,"We're all looking for someone, that perfect girl Who can take our hand and help us see the world But I'm a little unusual, because you see I seek a different type of thrill for my romantic fantasy [Pre-Chorus: Clyde Lawrence] And I must say I'm looking your way Cause you seem to like me baby And you give me all the signs There's just one activity on my mind [Chorus: Clyde Lawrence & Gracie Lawrence] Do you wanna do nothing with me? Do you wanna do nothing with me? Do you wanna do nothing with me? Do you wanna do nothing with me? [Verse 2: Clyde Lawrence] Do you wanna do something with me tonight? I'll put on my finest sweatpants and I'll order you pad thai We'd be living our dream, as our love grows What an intimate occasion, you and me and HBO [Pre-Chorus: Clyde Lawrence] 'Til morning light So wrong yet so right So say you want it darling 'Cause you know I want it too And there's just one thing that I wanna do You might also like[Chorus: Clyde Lawrence & Gracie Lawrence] Do you wanna do nothing with me? Do you wanna do nothing with me? Do you wanna do nothing with me? Do you wanna do nothing with me? [Pre-Chorus: Clyde Lawrence] Let's talk it through In case you're confused 'Cause I know I can seem lazy From these things I like to do But they're only worth it when I'm with you Yeah it's true, so do you... [Chorus: Clyde Lawrence & Gracie Lawrence] Do you wanna do nothing with me? Do you wanna do nothing with me? Do you wanna do nothing with me? Do you wanna do nothing with me? [Bridge: Clyde Lawrence & Gracie Lawrence] Na-na-na-na, na-na-na, na Uh, na-na-na-na, na-na, na-na, na-na Na-na, na-na, na-na, oh, baby Na-na-na-na, na-na-na, na Uh, na-na-na-na, na-na, na-na, na-na Na-na, na-na, na-na, oh, baby (Yeah) Na-na-na-na, na-na-na, na Uh, na-na-na-na, na-na, na-na, na-na Na-na, na-na, na-na, oh, baby Na-na-na-na, na-na-na, na Uh, na-na-na-na, na-na, na-na, na-na Na-na, na-na, na-na, oh, baby (Yeah) [Outro: Gracie Lawrence & Clyde Lawrence] Oh, but do wanna do nothing with me? Do you wanna do? Do you wanna do? Wanna do nothing with me Oh, but do you wanna do nothing with me?Embed"
Sharon Jones & The Dap-Kings,Nobody's Baby,2007,retro,"All you by yourself But it ain't my fault, baby You treated me like a fool It ain't my fault, baby That you treated me so cruel But you know what? I ain't nobody's baby I ain't nobody's fool I ain't nobody's baby Get yourself a new one. (x2) It's a matter of fact I expect I can't tell you that I said, if what you need is a good little soldier Well, I guess you better look again Well you know, I ain't nobody's solider, oh lord no I'm a bona fide cap-i-tan! Cause I... I ain't nobody's baby I ain't nobody's fool I ain't nobody's baby Get yourself a new one You better get yourself a new one You might also likeGet it, get it, get it, get it....Embed"
Sharon Jones & The Dap-Kings,Come and Be a Winner,2017,retro,"Trying to find your place in life You need to get your ducks all in a row Stop acting so peculiar Get on boy, I won't fool ya Follow me; I'll show you what you don't know So take some time to understand That life's a race for each and every man Sometimes people will treat you like a worn out shoe But they don't know that you can't lose Now if you seem to get off track I'll be there to get you back Don't you worry, I'll be in your corner When the chips are stacked against you Just remember that I'm with ya Keep on moving right past the finish line So take some time, understand That life is a race for each and every man Sometimes people will treat you like a worn out shoe But they don't know that you can't lose Come and be a winner (4x) Be a winner, just a winner (2x) Now you're winner You're a winner, yes you are! Beause you got me, yeah!You might also like1Embed"
Priestess,Lay Down,2006,retro,"Lay down, sleep my little darling I'll be nothing when you're gone Lay down just like in a coffin Then I'll have nothing but a song [Pre-Chorus] I'll leave you in a coffin for real And I'll leave you in a church [Chorus] Lay down, leave, you'll be lonely I know I won't go Lay down, sleep, you'll be lonely I know I won't go, it's not my turn [Verse 2] Lay down, this pain will be long gone With the absence of your breath I know, I know that you loved me But I can't love you when you're dead [Pre-Chorus] So I'll leave you with this coffin for God And I'll leave you in the dirt You might also like[Chorus] Lay down, leave, you'll be lonely I know I won't go Lay down, sleep, you'll be lonely I know I won't go, it's not my turn [Chorus] Lay down, leave, you'll be lonely I know I won't go Lay down, sleep, you'll be lonely I know I won't go [Outro] Lay down, before me I know I won't go It's not my turn3Embed"
The Dip,O.P. Jebediah,2015,retro,"Well I, I used to be your man and I was proud of it Do anything you asked me to But before I knew it you were running round with him What the hell was I supposed to do [Pre Chorus] What would you say if she was gone off with someone What would you say if she was gone woah What would you say if she was gone off with someone What would you say if she was gone [Chorus] He should be doing what I done for you Should be doing what I done for you He should be doing what I done for you Should be doing what I done for you [Verse 2] I used to hope and pray that you would stay with me Love is a fragile thing But now it seems my hope for her was all for nothing Cause you done found another man [Pre Chorus] So what would you say if she was gone off with someone What would you say if she was gone woah What would you say if she was gone off with someone What would you say if she was gone You might also like[Chorus] He should be doing what I done for you Should be doing what I done for you woah He should be doing what I done for you Should be doing what I done for you [Interlude] [Chorus] He should be doing what I done for you Should be doing what I done for you woah He should be doing what I done for you Should be doing what I done for youEmbed"
Sonny Cleveland,You've Got Me Running in Circles,2015,retro,"Oh, can it be? That you're here with me Let's start writing our own history Let's take this road, oh, this winding, winding road Let's just take the long way home [Chorus] You've got me running in circles I don't ever wanna slow down Let's just keep spinning, spinning, spinning Just keep going around, going around You've got me running in circles Can't keep both feet on the ground Let's just keep spinning, spinning, spinning Just keep going around, going around [Verse 2] Nothing but sunshine, sunshine and happiness All that's around us now I haven't felt, oh I haven't felt Haven't felt like this for a long long time [Chorus] You've got me running in circles I don't ever wanna slow down Let's just keep spinning, spinning, spinning Just keep going around, going around You've got me running in circles Can't keep both feet on the ground Let's just keep spinning, spinning, spinning Just keep going around, going around Just keep going around, going around Got me spinning in circles Oh, just going around, going around You might also like[Outro] You've got me You've got me You've got me spinning in circlesEmbed"
